index,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
KY,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,5.94,6.5,7.31,7.96,7.71,7.56,7.45,7.33,7.32,7.25
LA,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,5.94,6.5,7.31,7.96,7.71,7.56,7.45,7.33,7.32,7.25
MA,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.48,7.38,7.24,6.87,6.68,7.25,7.04,6.86,6.67,7.24,7.83,7.71,7.54,8.34,9.12,8.98,8.78,8.55,8.27,8.01,8.66,8.89,8.92,8.78,8.51,8.34,8.22,8.09,9.09,10.0
MD,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,7.1,6.83,7.31,7.96,7.71,7.56,7.45,7.33,8.08,8.25
ME,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.67,7.75,7.69,7.38,7.24,7.05,6.76,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,7.65,8.13,7.92,7.78,7.71,7.79,7.78,8.09,8.23,7.98,7.82,7.7,7.58,7.57,7.5
MI,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,8.02,7.95,8.25,8.12,7.87,7.71,7.6,7.48,8.23,8.5
MN,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,7.18,7.43,7.23,7.47,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,7.3,7.1,6.83,7.31,7.96,7.71,7.56,7.45,7.33,8.08,9.0
MO,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,7.5,7.39,7.86,7.96,7.71,7.56,7.55,7.58,7.57,7.65
MS,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,5.94,6.5,7.31,7.96,7.71,7.56,7.45,7.33,7.32,7.25
MT,9.71,9.34,9.67,9.08,9.73,9.56,9.0,8.82,8.31,8.05,7.71,7.45,7.31,7.06,6.78,6.46,6.13,6.68,7.25,7.04,6.86,6.67,6.48,7.08,7.56,7.4,7.16,6.96,6.85,6.7,6.52,6.31,6.11,7.1,6.95,7.7,7.96,7.82,7.97,8.01,7.98,8.13,8.05
